,0
loan_amnt,500.0
funded_amnt,500.0
funded_amnt_inv,0.0
int_rate,5.32
installment,15.67
annual_inc,1896.0
dti,0.0
delinq_2yrs,0.0
inq_last_6mths,0.0
mths_since_last_delinq,0.0
mths_since_last_record,0.0
open_acc,0.0
pub_rec,0.0
revol_bal,0.0
revol_util,0.0
total_acc,1.0
out_prncp,0.0
out_prncp_inv,0.0
total_pymnt,0.0
total_pymnt_inv,0.0
total_rec_prncp,0.0
total_rec_int,0.0
total_rec_late_fee,0.0
recoveries,0.0
collection_recovery_fee,0.0
last_pymnt_amnt,0.0
mths_since_last_major_derog,0.0
open_il_6m,0.0
mths_since_rcnt_il,0.0
total_bal_il,0.0
il_util,0.0
open_rv_24m,0.0
max_bal_bc,0.0
all_util,0.0
total_cu_tl,0.0
emp_length_clean,-1.0
